AVG Current,STD Current,MAX Current,MIN Current,Range Current,Kurtosis Current,RMS Current,Skewness Current,Entropy Current,AVG Torque,STD Torque,MAX Torque,MIN Torque,Range Torque,Kurtosis Torque,RMS Torque,Skewness Torque,Entropy Torque,AVG Active Power,STD Active Power,MAX Active Power,MIN Active Power,Range Active Power,Kurtosis Active Power,RMS Active Power,Skewness Active Power,Entropy Active Power,Class
0.486235,0.115404,1.989563,0.286316,1.703247,100.289605,0.499729,9.750534,6.890064,0.156457,0.104733,1.983032,0.079895,1.903137,180.268013,0.188247,13.028697,6.824721,0.451457,0.193336,3.909485,0.338013,3.571472,198.908341,0.491075,12.968198,6.864013,0
0.484066,0.126687,3.474548,0.134216,3.340332,331.549541,0.500353,16.114450,6.889290,0.162298,0.156183,3.398682,0.084167,3.314515,229.268882,0.225187,13.835678,6.763399,0.441694,0.126313,3.556946,0.310730,3.246216,385.839327,0.459383,17.243787,6.886496,0
0.486865,0.142220,3.834778,0.331360,3.503418,331.769296,0.507192,16.260836,6.886033,0.171531,0.240383,3.664368,0.122620,3.541748,153.748435,0.295210,11.991188,6.649061,0.445486,0.116839,1.833862,0.318604,1.515258,77.210557,0.460538,8.282152,6.885278,0
0.483438,0.132945,3.833923,0.333008,3.500915,447.552929,0.501367,19.715032,6.889944,0.167376,0.192567,3.661438,0.081360,3.580078,183.187069,0.255068,12.601469,6.711347,0.445497,0.169189,3.861572,0.333313,3.528259,326.424189,0.476512,16.920584,6.875511,0
0.488914,0.182227,3.843140,0.332336,3.510804,244.370014,0.521738,15.028394,6.876124,0.166658,0.205775,3.661438,0.058289,3.603149,204.923121,0.264718,13.582691,6.701631,0.448003,0.173801,3.833740,0.333313,3.500427,248.216182,0.480504,14.393930,6.871659,0
0.487502,0.134217,3.085266,0.330078,2.755188,211.258769,0.505622,13.287444,6.886816,0.168291,0.196467,3.459534,0.083313,3.376221,156.399278,0.258617,11.784592,6.702272,0.442295,0.108182,2.090149,0.316162,1.773987,119.075472,0.455320,10.059812,6.888737,0
0.488652,0.143029,3.323547,0.333313,2.990234,200.242473,0.509134,12.797246,6.884246,0.177246,0.267343,3.583496,0.080933,3.502563,103.544293,0.320651,9.955241,6.590533,0.442884,0.124760,3.079407,0.328918,2.750489,225.898512,0.460104,13.045868,6.885071,0
0.489777,0.164898,3.833862,0.290344,3.543518,221.349232,0.516765,13.528631,6.878781,0.171401,0.256997,3.833313,0.081787,3.751526,163.563919,0.308804,12.541655,6.633746,0.442263,0.097468,1.793884,0.333313,1.460571,90.995239,0.452866,8.725724,6.891169,0
0.490519,0.178532,3.739563,0.342468,3.397095,216.664774,0.521968,13.910344,6.876013,0.159181,0.136985,3.090149,0.078552,3.011597,272.709871,0.209963,15.425551,6.793728,0.448959,0.181659,3.726440,0.302002,3.424438,226.438934,0.484284,13.992351,6.869234,0
0.482872,0.117812,3.036438,0.083313,2.953125,276.719109,0.497022,15.241954,6.891236,0.169863,0.226363,3.631165,0.087219,3.543946,153.316356,0.282918,11.943644,6.666355,0.444482,0.138379,3.635071,0.093262,3.541809,298.731929,0.465504,14.805728,6.881580,0
